date;province;ine_code;ccaa;new_cases;PCR;TestAc;activos;hospitalized;hospitalized_accumulated;hospitalized_new;intensive_care;deceased;cases_accumulated;cases_accumulated_PCR;recovered;deceased_hosp_eus;num_casos;num_casos_prueba_pcr;num_casos_prueba_test_ac;num_casos_prueba_ag;num_casos_prueba_elisa;num_casos_prueba_desconocida;num_casos_cum1;num_casos2;num_hosp;num_uci;num_def;num_casos_cum2;num_hosp_cum;num_uci_cum;num_def_cum;poblacion;cases_per_cienmil;intensive_care_per_1000000;deceassed_per_100000;hospitalized_per_100000;cases_14days;cases_7days;cases_PCR_14days;cases_PCR_7days;daily_cases;daily_cases_avg7;daily_cases_PCR;daily_cases_PCR_avg7;daily_deaths;daily_deaths_hosp_eus;daily_deaths_inc;daily_deaths_avg3;daily_deaths_avg7;daily_deaths_avg7_hosp_eus;deaths_last_week;num_casos_avg7;num_casos_prueba_pcr_avg7;num_casos2_avg7;ia14;source_name;source;comments
01/05/2021;Granada;18;Andalucía;0;0;0;0;0;0;0;0;1687;82625;0;0;0;0;0;0;0;0;0;0;117;23;4;0;81886;7428;954;1655;914678;903323;0;18444;0;4001;1914;0;0;303;305;0;0;1;0;1;13;32;0;19;0;0;2761;4374;0;0;0
01/05/2021;Guadalajara;19;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;24526;1553;106;612;257762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;71;0;0;0;
01/05/2021;Huelva;21;Andalucía;0;0;0;0;0;0;0;0;363;28455;0;0;0;0;0;0;0;0;0;0;26;7;0;1;28313;2072;151;362;521870;545251;0;6956;0;1281;620;0;0;80;935;0;0;0;0;0;3;4;0;3;0;0;844;2455;0;0;0
01/05/2021;Huesca;22;Aragón;22;0;0;836;44;1605;1605;7;476;17830;0;0;0;0;0;0;0;0;0;0;20;5;2;1;17734;1643;183;476;220461;80876;318;21591;1996;525;265;0;0;22;379;0;0;1;0;2;3;4;0;3;0;0;369;2381;"Gobierno de Aragón;aragon.es;aragon.es";"https://datacovid.salud.aragon.es/covid/;https://www.aragon.es/documents/20127/38742837/casos_coronavirus_hospitales.xlsx";descargados por script https://github.com/montera34/escovid19data/blob/master/analysis/aragon/aragon.R
01/05/2021;Jaén;23;Andalucía;0;0;0;0;0;0;0;0;955;46711;0;0;0;0;0;0;0;0;0;0;67;6;1;1;46477;4301;398;939;633564;737274;0;15073;0;1959;844;0;0;136;1363;0;0;2;0;2;2;19;0;9;0;0;1139;3092;0;0;0
01/05/2021;León;24;Castilla y León;62;0;0;0;47;0;0;24;2100;0;39652;0;0;0;0;0;0;0;0;0;15;3;0;1;37383;4584;283;923;460001;0;522;45652;1022;0;0;769;459;62;656;62;656;1;0;0;27;2;0;14;0;0;563;1672;0;0;
01/05/2021;Lleida;25;Cataluña;0;21;0;0;138;0;0;31;789;42754;41338;0;0;0;0;0;0;0;0;0;58;0;0;0;41418;1112;111;623;434930;983009;713;18141;3173;1956;837;1933;828;54;1196;54;1183;1;0;1;17;17;0;12;0;0;1329;4444;Transparencia Catalunya;https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47;0
01/05/2021;Lugo;27;Galicia;0;0;0;0;17;0;0;4;213;12480;0;0;0;0;0;0;0;0;0;0;11;0;0;0;12280;1158;143;218;329587;378656;121;6463;516;212;117;0;0;11;167;11;167;0;0;0;0;0;0;0;0;0;181;643;0;0;0
01/05/2021;Madrid;28;Madrid, Comunidad de;0;0;0;0;2614;110441;205;548;16698;0;698626;0;0;0;0;0;0;0;0;0;522;115;14;8;687272;97874;7388;15092;6663394;0;822;25059;3923;0;0;26298;12348;0;0;536;1764;13;0;1;157;15;0;105;0;0;17424;3947;"Consejería de Sanidad de la Comunidad de Madrid;Instituto de Salud Carlos III via @alfonsotwr;Comunidad de Madrid";"https://github.com/alfonsotwr/snippets/blob/master/covidia-cam/madrid-series.csv;https://www.comunidad.madrid/servicios/salud/2019-nuevo-coronavirus#situacion-epidemiologica-actual;https://github.com/alfonsotwr/snippets/blob/master/covidia-cam/madrid-historico.csv;https://github.com/alfonsotwr/snippets/blob/master/covidia-cam/madrid-pcr.csv";0
01/05/2021;Málaga;29;Andalucía;0;0;0;0;0;0;0;0;1622;96391;0;0;0;0;0;0;0;0;0;0;84;14;3;1;94495;7734;728;1609;1661785;580045;0;9761;0;2533;1162;0;0;163;1897;0;0;0;0;0;1;16;0;11;0;0;1697;1524;0;0;0
01/05/2021;Melilla;52;Melilla;0;7;0;476;23;0;0;5;89;0;8733;8168;0;0;0;0;0;0;0;0;8;1;0;0;8742;667;110;89;86487;0;578;10291;2659;0;0;310;113;0;0;7;161;0;0;0;0;0;0;0;0;0;163;3584;Ingesa Melilla - Twitter;https://twitter.com/Ingesa_Melilla;
01/05/2021;Murcia;30;Murcia, Región de;28;0;108283;0;73;0;0;21;1593;110778;0;0;0;0;0;0;0;0;0;0;37;8;1;0;110975;9000;1172;1591;1493898;741537;141;10663;489;1035;509;0;0;51;727;0;0;0;0;0;3;3;0;2;0;0;771;693;Cuenta de Twitter del Gobierno de la Región de Murcia;https://twitter.com/regiondemurcia/status/1388808486167924740;
01/05/2021;Navarra;31;Navarra, Comunidad Foral de;0;106;0;0;138;0;0;37;1166;0;59810;0;0;0;0;0;0;0;0;0;108;7;0;3;60150;5792;557;1156;654214;0;566;17823;2109;0;0;2178;6;0;0;106;9;1;0;1;1;19;0;13;0;0;1469;3329;Gobierno de Navarra;https://www.navarra.es/es/noticias/2021/05/02/detectados-106-nuevos-casos-de-covid-19-en-navarra-tras-realizarse-1.844-pruebas?pageBackId=363032&back=true;
01/05/2021;Ourense;32;Galicia;0;0;0;0;28;0;0;12;416;15359;0;0;0;0;0;0;0;0;0;0;12;1;2;0;15123;2026;177;419;307651;499235;39;13522;91;255;126;0;0;12;18;12;18;0;0;0;0;1;0;1;0;0;186;829;0;0;0
01/05/2021;Palencia;34;Castilla y León;24;0;0;0;20;0;0;12;795;0;18918;0;0;0;0;0;0;0;0;0;18;1;0;1;18518;2063;241;538;160980;0;745;49385;1242;0;0;254;108;24;154;24;154;1;0;1;1;1;0;7;0;0;164;1578;0;0;
01/05/2021;Palmas, Las;35;Canarias;48;48;0;796;101;0;0;44;317;28913;28913;0;0;0;0;0;0;0;0;0;48;4;0;0;28242;2495;597;314;1120406;258058;393;2829;901;868;396;868;396;48;566;48;566;0;0;0;7;7;0;5;0;0;574;775;0;0;descargados por script https://github.com/montera34/escovid19data/blob/master/analysis/canarias/canarias_full.R
01/05/2021;Pontevedra;36;Galicia;0;0;0;0;67;0;0;17;599;37402;0;0;0;0;0;0;0;0;0;0;78;6;0;0;40528;3778;482;636;942665;396769;18;6354;711;1225;555;0;0;88;793;88;793;0;0;0;1;9;0;6;0;0;86;130;0;0;0
01/05/2021;Rioja, La;26;Rioja, La;0;9;0;681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3;0;0;29756;3354;373;761;316798;0;0;0;0;0;0;0;0;0;0;9;434;0;0;0;0;0;0;3;0;0;574;0;Gobierno de La Rioja  - DATOS COVID en tiempo real;https://docs.google.com/spreadsheets/d/11dMDMmOq3t2Hb35BH33X0wG4xqv8SQC1av3RM1EdXRY/edit#gid=2020928689;
01/05/2021;Salamanca;37;Castilla y León;42;0;0;0;38;0;0;11;1680;0;31811;0;0;0;0;0;0;0;0;0;17;2;0;1;29969;3689;219;984;330119;0;333;50891;1151;0;0;577;277;42;396;42;396;0;0;0;1;6;0;4;0;0;36;1748;0;0;
01/05/2021;Santa Cruz de Tenerife;38;Canarias;80;80;0;1191;137;0;0;27;422;23959;23959;0;0;0;0;0;0;0;0;0;80;12;2;0;23416;2592;474;417;1032983;23194;261;4085;1326;1348;585;1348;585;80;836;80;836;0;0;0;3;4;0;3;0;0;826;1305;0;0;descargados por script https://github.com/montera34/escovid19data/blob/master/analysis/canarias/canarias_full.R
01/05/2021;Segovia;40;Castilla y León;35;0;0;0;23;0;0;9;972;0;17160;0;0;0;0;0;0;0;0;0;19;4;0;1;15494;1739;169;615;153129;0;588;63476;1502;0;0;455;225;35;321;35;321;2;0;2;1;7;0;5;0;0;276;2971;0;0;
01/05/2021;Sevilla;41;Andalucía;0;0;0;0;0;0;0;0;1927;119137;0;0;0;0;0;0;0;0;0;0;262;18;3;2;117898;9825;992;1913;1942389;613353;0;9921;0;5376;2430;0;0;312;4009;0;0;3;0;2;17;4;0;19;0;0;3413;2768;0;0;0
01/05/2021;Soria;42;Castilla y León;9;0;0;0;16;0;0;10;616;0;9731;0;0;0;0;0;0;0;0;0;5;1;0;2;8189;1223;118;427;88636;0;1128;69498;1805;0;0;154;68;9;97;9;97;0;0;0;1;4;0;3;0;0;94;1737;0;0;
01/05/2021;Tarragona;43;Cataluña;0;29;0;0;122;0;0;43;1279;51418;49963;0;0;0;0;0;0;0;0;0;61;1;0;1;48849;2232;218;1122;804664;6390;534;15895;1516;1595;728;1563;707;59;104;58;101;1;0;1;1;9;0;6;0;0;1144;1942;Transparencia Catalunya;https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47;0
01/05/2021;Teruel;44;Aragón;-2;0;0;261;6;1310;1310;0;415;13517;0;0;0;0;0;0;0;0;0;0;5;1;0;0;13397;1415;121;414;134137;1007701;0;30939;447;201;95;0;0;-2;136;0;0;0;0;0;0;0;0;0;0;0;143;1498;"Gobierno de Aragón;aragon.es;aragon.es";"https://datacovid.salud.aragon.es/covid/;https://www.aragon.es/documents/20127/38742837/casos_coronavirus_hospitales.xlsx";descargados por script https://github.com/montera34/escovid19data/blob/master/analysis/aragon/aragon.R
01/05/2021;Toledo;45;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;3;0;4;69079;5908;450;2139;694844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;1596;0;0;0;
01/05/2021;Valencia/València;46;Comunitat Valenciana;66;0;0;0;0;0;0;0;3740;203906;0;0;0;0;0;0;0;0;0;0;61;4;1;0;203592;18656;1662;3761;2565124;794917;0;1458;0;1226;577;0;0;66;824;0;0;4;0;1;2;26;0;16;0;0;763;478;0;0;No hay más datos
01/05/2021;Valladolid;47;Castilla y León;57;0;0;0;78;0;0;39;1908;0;50592;0;0;0;0;0;0;0;0;0;26;4;1;0;50177;6197;548;1503;519546;0;751;36724;1501;0;0;869;422;57;603;57;603;2;0;1;4;29;0;20;0;0;534;1673;0;0;
01/05/2021;Zamora;49;Castilla y León;18;0;0;0;25;0;0;4;719;0;13229;0;0;0;0;0;0;0;0;0;10;5;1;0;12587;1772;136;521;172539;0;232;41672;1449;0;0;188;89;18;127;18;127;0;0;0;13;7;0;5;0;0;133;109;0;0;
01/05/2021;Zaragoza;50;Aragón;180;0;0;4959;310;9249;9249;54;2528;87354;0;0;0;0;0;0;0;0;0;0;188;13;0;3;86509;9333;884;2536;964693;905511;56;26205;3213;3143;1791;0;0;180;2559;0;0;5;0;2;23;24;0;17;0;0;256;3258;"Gobierno de Aragón;aragon.es;aragon.es";"https://datacovid.salud.aragon.es/covid/;https://www.aragon.es/documents/20127/38742837/casos_coronavirus_hospitales.xlsx";descargados por script https://github.com/montera34/escovid19data/blob/master/analysis/aragon/aragon.R
02/05/2021;Albacete;2;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;27561;3321;387;836;388167;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;174;0;0;0;
02/05/2021;Alicante/Alacant;3;Comunitat Valenciana;25;0;0;0;0;0;0;0;0;146473;0;0;0;0;0;0;0;0;0;0;12;1;0;0;145996;12755;1322;2789;1858683;788047;0;0;0;674;341;0;0;25;487;0;0;0;0;0;0;0;0;14;0;0;457;363;0;0;No hay más datos
02/05/2021;Almería;4;Andalucía;0;0;0;0;107;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;42;8;1;1;53065;3651;632;799;716820;0;572;0;1493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;856;0;0;0;0
02/05/2021;Araba/Álava;1;País Vasco;38;0;0;0;0;0;0;0;725;27527;0;0;0;0;0;0;0;0;0;0;38;2;0;0;27702;2589;214;721;331549;830254;0;21867;0;1204;524;0;0;38;749;0;0;0;0;0;0;9;0;6;0;0;73;3631;"Open Data Euskadi;Open Data Euskadi";"https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx";"Indica ""test diagnósitcos"". 9 en personas con residencia fuera de Euskadi"
02/05/2021;Asturias;33;Asturias, Principado de;41;41;0;0;141;0;0;54;1951;50922;48197;0;0;0;0;0;0;0;0;0;41;7;1;0;50924;8375;731;1949;1022800;497869;528;19075;1379;1385;587;1316;562;41;839;41;803;0;0;0;3;4;0;3;0;0;839;1287;Dirección General de Salud del Principado de Asturias;"https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/;https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/_w_0ecb484e/DATOS/TABLAS_RESUMEN/asturias_resumen.csv";0
02/05/2021;Ávila;5;Castilla y León;5;0;0;0;10;0;0;8;730;0;12488;0;0;0;0;0;0;0;0;0;18;3;2;0;11638;1544;82;440;157640;0;507;46308;634;0;0;195;93;5;133;5;133;0;0;0;0;1;0;1;0;0;151;1237;0;0;
02/05/2021;Badajoz;6;Extremadura;19;0;0;0;34;0;0;5;903;0;49756;0;0;0;0;0;0;0;0;0;20;1;1;0;48684;3391;311;916;673559;0;74;13406;505;0;0;721;321;19;459;19;459;0;0;0;3;3;0;2;0;0;457;107;0;0;
02/05/2021;Balears, Illes;7;Balears, Illes;0;42;0;1405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;3;0;0;59450;4584;726;834;1149460;0;0;0;0;0;0;723;397;0;0;42;567;0;0;0;0;0;0;16;0;0;577;629;Conselleria de Salut i Consum - Govern Illes Balears;https://covid19ib.maps.arcgis.com/apps/opsdashboard/index.html#/c1cde29b86bd431287fd4225bb4193a4;No se dieron datos en nota de prensa
02/05/2021;Barcelona;8;Cataluña;0;189;0;0;1086;0;0;275;17713;477146;441437;0;0;0;0;0;0;0;0;0;289;39;1;2;432598;34712;2869;11109;5664579;842333;485;3127;1917;15354;7316;14739;6999;378;10451;372;9999;7;0;0;83;93;0;65;0;0;11583;2602;Transparencia Catalunya;https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47;0
02/05/2021;Bizkaia;48;País Vasco;268;0;0;0;0;0;0;0;2317;94667;0;0;0;0;0;0;0;0;0;0;265;17;4;1;94899;10304;903;2405;1152651;821298;0;20101;0;5238;2494;0;0;268;3563;0;0;0;0;0;0;31;0;22;0;0;3514;4544;"Open Data Euskadi;Open Data Euskadi";"https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx;https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/datos-asistenciales.xlsx";"Indica ""test diagnósitcos"". 9 en personas con residencia fuera de Euskadi"
02/05/2021;Burgos;9;Castilla y León;49;0;0;0;77;0;0;18;1363;0;34946;0;0;0;0;0;0;0;0;0;39;2;1;2;33382;3897;357;814;356958;0;504;38184;2157;0;0;1139;605;49;864;49;864;0;0;0;3;7;0;5;0;0;839;3191;0;0;
02/05/2021;Cáceres;10;Extremadura;20;0;0;0;29;0;0;8;853;0;24343;0;0;0;0;0;0;0;0;0;20;1;0;0;24751;2517;204;860;394151;0;203;21641;736;0;0;409;238;20;34;20;34;0;0;0;0;3;0;2;0;0;341;1038;0;0;
02/05/2021;Cádiz;11;Andalucía;0;0;0;0;129;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;25;6;1;2;77258;5429;620;1410;1240155;0;274;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;1059;0;0;0;0
02/05/2021;Cantabria;39;Cantabria;0;111;0;0;117;0;0;24;561;30216;28847;0;0;0;0;0;0;0;0;0;111;10;2;0;29066;3115;436;557;581078;519999;413;9654;2013;1478;747;1487;753;110;1067;111;1076;0;0;0;-3;3;0;2;0;0;1071;2559;Servicio Cántabro de Salud;"https://serviweb.scsalud.es:10443/ficheros/COVID19_historico.csv;https://www.scsalud.es/coronavirus";0
02/05/2021;Castellón/Castelló;12;Comunitat Valenciana;24;0;0;0;0;0;0;0;0;40324;0;0;0;0;0;0;0;0;0;0;17;2;1;0;40003;3450;425;792;579962;695287;0;0;0;490;242;0;0;24;346;0;0;0;0;0;0;0;0;4;0;0;301;845;0;0;No hay más datos
02/05/2021;Ceuta;51;Ceuta;2;0;0;0;23;0;0;5;106;5764;0;0;0;0;0;0;0;0;0;0;2;1;1;0;5764;373;51;106;84777;679901;59;12503;2713;125;39;0;0;2;67;0;0;2;0;0;0;4;0;3;0;0;54;1474;Sanidad;https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Actualizacion_366_COVID-19.pdf;
02/05/2021;Ciudad Real;13;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;1;1;0;45107;5612;319;1708;495761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;687;0;0;0;
02/05/2021;Córdoba;14;Andalucía;0;0;0;0;113;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;53;9;3;2;49944;4313;531;938;782979;0;511;0;1443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;976;0;0;0;0
02/05/2021;Coruña, A;15;Galicia;0;0;0;0;102;0;0;20;1162;57318;0;0;0;0;0;0;0;0;0;0;55;7;3;0;54452;6261;990;1102;1119596;511953;179;10379;911;951;464;0;0;45;663;45;663;0;0;0;3;1;0;1;0;0;629;849;0;0;0
02/05/2021;Cuenca;16;Castilla - La Mancha;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3;0;1;20224;2492;142;557;196329;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;22;0;0;0;
